,ID,Reached.on.Time_Y.N
0,6811,0.68
1,4320,0.23
2,5732,0.27
3,7429,0.33
4,2191,0.87
5,8618,0.41
6,3311,0.39
7,7221,0.64
8,3291,0.44
9,9115,0.34
10,9396,0.26
11,663,0.93
12,6124,0.43
13,536,0.93
14,7082,0.49
15,7699,0.47
16,8651,0.44
17,8475,0.48
18,890,0.95
19,6596,0.45
20,3501,0.55
21,7751,0.56
22,10896,0.48
23,6343,0.54
24,3456,0.35
25,9417,0.27
26,9086,0.5
27,2043,0.95
28,1940,0.98
29,1347,0.98
30,6754,0.44
31,427,0.94
32,9503,0.61
33,9594,0.48
34,1385,0.93
35,9641,0.63
36,1818,0.93
37,7656,0.66
38,2805,0.97
39,6288,0.45
40,9003,0.35
41,4759,0.7
42,9576,0.49
43,6448,0.45
44,5603,0.45
45,891,0.93
46,5741,0.57
47,9305,0.6
48,1785,0.7
49,9603,0.44
50,5443,0.64
51,5328,0.27
52,3765,0.43
53,5627,0.48
54,2939,0.94
55,2029,0.91
56,5868,0.6
57,7647,0.4
58,8513,0.48
59,7865,0.37
60,8186,0.3
61,10050,0.64
62,4693,0.51
63,4560,0.37
64,7775,0.51
65,9504,0.55
66,10480,0.56
67,2480,0.98
68,1918,0.66
69,10685,0.35
70,9406,0.51
71,7419,0.46
72,10895,0.49
73,9455,0.51
74,2969,0.82
75,6935,0.61
76,8427,0.5
77,8985,0.31
78,4318,0.54
79,515,0.81
80,4553,0.64
81,4935,0.55
82,1161,0.93
83,10574,0.45
84,1757,0.96
85,671,0.68
86,6335,0.5
87,10290,0.21
88,491,0.98
89,9866,0.39
90,2672,0.97
91,823,0.93
92,9469,0.4
93,4672,0.46
94,5762,0.66
95,2472,0.95
96,4522,0.53
97,10447,0.46
98,8239,0.41
99,5119,0.22
100,8126,0.42
101,6760,0.36
102,7311,0.4
103,4407,0.63
104,3295,0.59
105,1066,0.96
106,6055,0.48
107,5978,0.67
108,1346,0.58
109,1762,0.94
110,3967,0.38
111,4587,0.31
112,8148,0.43
113,3657,0.25
114,1516,0.96
115,4397,0.32
116,4564,0.37
117,727,0.98
118,5180,0.34
119,4233,0.46
120,6924,0.47
121,8725,0.36
122,7969,0.51
123,3607,0.67
124,393,0.87
125,9330,0.53
126,8392,0.32
127,4051,0.5
128,10077,0.22
129,4482,0.45
130,4443,0.39
131,7554,0.18
132,7048,0.52
133,7551,0.29
134,5320,0.52
135,3581,0.55
136,2341,0.94
137,3653,0.57
138,2279,0.99
139,2877,0.93
140,10310,0.43
141,5088,0.37
142,10434,0.71
143,5643,0.46
144,9754,0.41
145,6638,0.21
146,1838,0.92
147,9138,0.58
148,10556,0.41
149,7133,0.64
150,6033,0.38
151,7506,0.61
152,6840,0.64
153,399,0.98
154,7741,0.58
155,1492,0.92
156,559,0.93
157,7076,0.64
158,873,0.97
159,7500,0.53
160,7108,0.53
161,8387,0.51
162,3051,0.85
163,5525,0.51
164,9615,0.46
165,2503,0.95
166,8495,0.42
167,7574,0.4
168,2772,0.79
169,8405,0.48
170,6217,0.28
171,2920,0.97
172,417,0.97
173,8251,0.44
174,2462,0.96
175,10438,0.6
176,8474,0.46
177,3324,0.43
178,4428,0.37
179,7211,0.64
180,681,0.95
181,9870,0.56
182,9541,0.38
183,10184,0.42
184,8064,0.36
185,10615,0.38
186,98,0.79
187,4567,0.57
